Target relationship: chronotype_desync -> cluster
Model Formula: Formula(cluster ~ age + chronotype_desync + patient_chronotype + sex + sri + (1|id))

                        mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
1|id[1, 583]          -0.778  0.638  -1.960    0.420      0.005    0.009  16002.055  5575.872  1.000
1|id[1, 585]           0.523  0.590  -0.563    1.650      0.005    0.008  16344.326  6096.623  1.001
1|id[1, 588]           0.665  0.599  -0.521    1.730      0.005    0.008  17630.713  5795.117  1.000
1|id[1, 601]          -0.919  0.626  -2.158    0.191      0.005    0.008  15767.312  5521.721  1.000
1|id[1, 602]           0.487  0.583  -0.637    1.552      0.005    0.007  15509.854  6096.067  1.000
1|id[1, 610]          -0.743  0.594  -1.861    0.352      0.005    0.008  16760.832  5812.066  1.001
1|id[1, 611]          -0.332  0.638  -1.540    0.872      0.005    0.008  15589.530  6244.414  1.001
1|id[1, 612]          -0.305  0.577  -1.346    0.812      0.005    0.008  15371.299  4962.713  1.002
1|id[1, 615]           0.167  0.712  -1.124    1.581      0.006    0.010  15959.742  4573.363  1.001
1|id[1, 619]          -0.244  0.588  -1.333    0.877      0.005    0.007  17061.968  6051.904  1.000
1|id[1, 623]           0.195  0.581  -0.868    1.339      0.005    0.008  16527.660  5208.678  1.001
1|id[1, 626]           0.870  0.600  -0.234    2.016      0.005    0.008  16716.203  5921.536  1.002
1|id[1, 628]          -0.293  0.730  -1.727    0.988      0.006    0.010  17620.590  5593.838  1.001
1|id[1, 629]          -0.601  0.673  -1.923    0.616      0.005    0.009  17273.770  5514.271  1.000
1|id[1, 630]           0.299  0.625  -0.847    1.474      0.005    0.008  17223.790  5414.443  1.003
1|id[1, 631]          -0.296  0.626  -1.487    0.853      0.005    0.008  18179.692  5874.543  1.001
1|id[1, 632]          -0.306  0.720  -1.633    1.052      0.006    0.009  15770.398  5652.638  1.001
1|id[1, 636]           0.194  0.581  -0.851    1.312      0.005    0.007  16265.643  6303.388  1.001
1|id[1, 637]           0.298  0.578  -0.778    1.386      0.005    0.007  14456.685  6135.816  1.001
1|id[1, 640]           0.803  0.577  -0.299    1.844      0.005    0.007  16160.632  5792.301  1.001
1|id[1, 649]          -0.424  0.607  -1.587    0.683      0.005    0.008  15094.226  5161.705  1.001
1|id[1, 650]          -0.144  0.568  -1.235    0.891      0.004    0.007  16476.278  5610.286  1.001
